date	tweet_id
2020-01-01	1
2020-01-02	3
2020-01-03	4
2020-01-04	5
2020-01-05	4
2020-01-06	6
2020-01-07	6
2020-01-08	9
2020-01-09	21
2020-01-10	13
2020-01-11	15
2020-01-12	15
2020-01-13	9
2020-01-14	7
2020-01-15	6
2020-01-16	8
2020-01-17	30
2020-01-18	29
2020-01-19	9
2020-01-20	129
2020-01-21	180
2020-01-22	902
2020-01-23	1299
2020-01-24	1670
2020-01-25	1869
2020-01-26	2016
2020-01-27	89139
2020-01-28	276724
2020-01-29	278137
2020-01-30	334731
2020-01-31	342487
2020-02-01	217407
2020-02-02	216833
2020-02-03	215532
2020-02-04	200708
2020-02-05	181862
2020-02-06	177039
2020-02-07	188167
2020-02-08	33584
2020-02-09	3231
2020-02-10	106650
2020-02-11	178784
2020-02-12	157953
2020-02-13	171400
2020-02-14	138884
2020-02-15	116045
2020-02-16	108464
2020-02-17	133936
2020-02-18	143261
2020-02-19	127121
2020-02-20	120993
2020-02-21	166163
2020-02-22	166394
2020-02-23	203010
2020-02-24	321481
2020-02-25	393766
2020-02-26	433443
2020-02-27	445496
2020-02-28	426986
2020-02-29	392158
2020-03-01	199277
2020-03-02	295700
2020-03-03	263741
2020-03-04	372573
2020-03-05	460917
2020-03-06	520508
2020-03-07	254280
2020-03-08	419582
2020-03-09	467979
2020-03-10	447381
2020-03-11	475122
2020-03-12	485043
2020-03-13	795102
2020-03-14	767572
2020-03-15	794273
2020-03-16	892199
2020-03-17	891019
2020-03-18	899812
2020-03-19	860809
2020-03-20	870332
2020-03-21	878688
2020-03-22	857832
2020-03-23	894464
2020-03-24	935060
2020-03-25	978759
2020-03-26	988285
2020-03-27	1044407
2020-03-28	886909
2020-03-29	868850
2020-03-30	931643
2020-03-31	914065
2020-04-01	991712
2020-04-02	976876
2020-04-03	1001148
2020-04-04	938941
2020-04-05	980328
2020-04-06	1032578
2020-04-07	1032336
2020-04-08	1067061
2020-04-09	977535
2020-04-10	1031974
2020-04-11	932497
2020-04-12	1000063
2020-04-13	1118940
2020-04-14	1149676
2020-04-15	1084736
2020-04-16	1125520
2020-04-17	1056648
2020-04-18	956606
2020-04-19	1023171
2020-04-20	1067945
2020-04-21	1132256
2020-04-22	1165530
2020-04-23	1143336
2020-04-24	1069563
2020-04-25	1012412
2020-04-26	1029523
2020-04-27	1102003
2020-04-28	1132264
2020-04-29	1179821
2020-04-30	1148551
2020-05-01	989344
2020-05-02	814802
2020-05-03	1019255
2020-05-04	1120433
2020-05-05	1103760
2020-05-06	1141527
2020-05-07	1173394
2020-05-08	1123163
2020-05-09	1060494
2020-05-10	996268
2020-05-11	1077648
2020-05-12	1071746
2020-05-13	1003422
2020-05-14	1105707
2020-05-15	1106970
2020-05-16	1025230
2020-05-17	937919
2020-05-18	1091766
2020-05-19	1112273
2020-05-20	1094459
2020-05-21	1057846
2020-05-22	1011165
2020-05-23	914607
2020-05-24	860279
2020-05-25	947433
2020-05-26	992936
2020-05-27	1004725
2020-05-28	927240
2020-05-29	935457
2020-05-30	792853
2020-05-31	747844
2020-06-01	829947
2020-06-02	846469
2020-06-03	886797
2020-06-04	841577
2020-06-05	818775
2020-06-06	695562
2020-06-07	666673
2020-06-08	838466
2020-06-09	807133
2020-06-10	803951
2020-06-11	871121
2020-06-12	817633
2020-06-13	669865
2020-06-14	612661
2020-06-15	793484
2020-06-16	845750
2020-06-17	840871
2020-06-18	807697
2020-06-19	800160
2020-06-20	676813
2020-06-21	613428
2020-06-22	781957
2020-06-23	865243
2020-06-24	762747
2020-06-25	855682
2020-06-26	807798
2020-06-27	737391
2020-06-28	655457
2020-06-29	790167
2020-06-30	769665
2020-07-01	813441
2020-07-02	816494
2020-07-03	812561
2020-07-04	667028
2020-07-05	630616
2020-07-06	730090
2020-07-07	901763
2020-07-08	868785
2020-07-09	805872
2020-07-10	818021
2020-07-11	648974
2020-07-12	656537
2020-07-13	786557
2020-07-14	830784
2020-07-15	836419
2020-07-16	834503
2020-07-17	847604
2020-07-18	609897
2020-07-19	630851
2020-07-20	789973
2020-07-21	811935
2020-07-22	803533
2020-07-23	772192
2020-07-24	734018
2020-07-25	604410
2020-07-26	561542
2020-07-27	752012
2020-07-28	822877
2020-07-29	844031
2020-07-30	807033
2020-07-31	745025
2020-08-01	615358
2020-08-02	608946
2020-08-03	725966
2020-08-04	735298
2020-08-05	665711
2020-08-06	715695
2020-08-07	693536
2020-08-08	528272
2020-08-09	541074
2020-08-10	644206
2020-08-11	751042
2020-08-12	677534
2020-08-13	698946
2020-08-14	640301
2020-08-15	464870
2020-08-16	473670
2020-08-17	627783
2020-08-18	653118
2020-08-19	583877
2020-08-20	528599
2020-08-21	567629
2020-08-22	465712
2020-08-23	487885
2020-08-24	600407
2020-08-25	659619
2020-08-26	560041
2020-08-27	602426
2020-08-28	597084
2020-08-29	473197
2020-08-30	459510
2020-08-31	567260
2020-09-01	492546
2020-09-02	616632
2020-09-03	604614
2020-09-04	532597
2020-09-05	391147
2020-09-06	375309
2020-09-07	495175
2020-09-08	599249
2020-09-09	637683
2020-09-10	690035
2020-09-11	546289
2020-09-12	431991
2020-09-13	437690
2020-09-14	564355
2020-09-15	522821
2020-09-16	564980
2020-09-17	640185
2020-09-18	583241
2020-09-19	377572
2020-09-20	354724
2020-09-21	547638
2020-09-22	616406
2020-09-23	610230
2020-09-24	595985
2020-09-25	446672
2020-09-26	394965
2020-09-27	339058
2020-09-28	476903
2020-09-29	547719
2020-09-30	478714
2020-10-01	508768
2020-10-02	915909
2020-10-03	709261
2020-10-04	580957
2020-10-05	765531
2020-10-06	808390
2020-10-07	667412
2020-10-08	620812
2020-10-09	580864
2020-10-10	475191
2020-10-11	448526
2020-10-12	569259
2020-10-13	657537
2020-10-14	597751
2020-10-15	529480
2020-10-16	452361
2020-10-17	416924
2020-10-18	424367
2020-10-19	534688
2020-10-20	510681
2020-10-21	594066
2020-10-22	637700
2020-10-23	616245
2020-10-24	548387
2020-10-25	566490
2020-10-26	625628
2020-10-27	629537
2020-10-28	686516
2020-10-29	653418
2020-10-30	640444
2020-10-31	549652
2020-11-01	492593
2020-11-02	572362
2020-11-03	519096
2020-11-04	448172
2020-11-05	537203
2020-11-06	486589
2020-11-07	481437
2020-11-08	337111
2020-11-09	701833
2020-11-10	588819
2020-11-11	579456
2020-11-12	665289
2020-11-13	687858
2020-11-14	479461
2020-11-15	471540
2020-11-16	643718
2020-11-17	652587
2020-11-18	720704
2020-11-19	647834
2020-11-20	626743
2020-11-21	510347
2020-11-22	448424
2020-11-23	584772
2020-11-24	585518
2020-11-25	528039
2020-11-26	472407
2020-11-27	442292
2020-11-28	380605
2020-11-29	348439
2020-11-30	514636
2020-12-01	595515
2020-12-02	557470
2020-12-03	599921
2020-12-04	537060
2020-12-05	425076
2020-12-06	409936
2020-12-07	628608
2020-12-08	650510
2020-12-09	600188
2020-12-10	589976
2020-12-11	501926
2020-12-12	417929
2020-12-13	379002
2020-12-14	555390
2020-12-15	534233
2020-12-16	579887
2020-12-17	601720
2020-12-18	552404
2020-12-19	465263
2020-12-20	541345
2020-12-21	680956
2020-12-22	632857
2020-12-23	558533
2020-12-24	431905
2020-12-25	288985
2020-12-26	377266
2020-12-27	430777
2020-12-28	536737
2020-12-29	576187
2020-12-30	657435
2020-12-31	471054
2021-01-01	361885
2021-01-02	401773
2021-01-03	432823
2021-01-04	545042
2021-01-05	608807
2021-01-06	510645
2021-01-07	453538
2021-01-08	519504
2021-01-09	357112
2021-01-10	337021
2021-01-11	518814
2021-01-12	563871
2021-01-13	555154
2021-01-14	525873
2021-01-15	536014
2021-01-16	428407
2021-01-17	371964
2021-01-18	470179
2021-01-19	508675
2021-01-20	454162
2021-01-21	514674
2021-01-22	527553
2021-01-23	371308
2021-01-24	372218
2021-01-25	486798
2021-01-26	464486
2021-01-27	518068
2021-01-28	487420
2021-01-29	490059
2021-01-30	344450
2021-01-31	341155
2021-02-01	410403
